,transaction_date,ticker,asset_description,type,amount,representative
5208,2017-03-08,WFM,"Whole Foods Market, Inc.",Purchase,"$1,001 - $15,000","David A Perdue , Jr"
5209,2017-03-03,BAC,Bank of America Corporation,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
5210,2017-03-02,BAX,Baxter International Inc.,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
5211,2017-03-02,PFE,Pfizer Inc.,Purchase,"$1,001 - $15,000","David A Perdue , Jr"
5212,2017-03-01,WOOF,VCA Inc.,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
5213,2017-03-07,GM,General Motors Company,Purchase,"$50,001 - $100,000",James M Inhofe
5214,2017-03-02,SYF,Synchrony Financial,Sale (Full),"$50,001 - $100,000",James M Inhofe
5215,2017-03-16,WMB,"The Williams Companies, Inc.",Purchase,"$1,001 - $15,000",Patty Murray
5216,2017-03-16,WRK,WestRock Company,Purchase,"$1,001 - $15,000",Patty Murray
5217,2017-03-16,WFC,Wells Fargo &amp; Company,Purchase,"$1,001 - $15,000",Patty Murray
5218,2017-03-16,WBA,"Walgreens Boots Alliance, Inc.",Purchase,"$1,001 - $15,000",Patty Murray
5219,2017-03-16,WMT,"Wal-Mart Stores, Inc.",Purchase,"$1,001 - $15,000",Patty Murray
5220,2017-03-16,VZ,Verizon Communications Inc.,Purchase,"$1,001 - $15,000",Patty Murray
5221,2017-03-16,UTX,United Technologies Corporation,Purchase,"$1,001 - $15,000",Patty Murray
5222,2017-03-16,UPS,"United Parcel Service, Inc.",Purchase,"$1,001 - $15,000",Patty Murray
5223,2017-03-16,UN,Unilever N.V.,Purchase,"$1,001 - $15,000",Patty Murray
5224,2017-03-16,USB,U.S. Bancorp,Purchase,"$1,001 - $15,000",Patty Murray
5225,2017-03-16,TUP,Tupperware Brands Corporation,Purchase,"$1,001 - $15,000",Patty Murray
5226,2017-03-16,TWX,Time Warner Inc.,Purchase,"$1,001 - $15,000",Patty Murray
5227,2017-03-16,TGT,Target Corporation,Purchase,"$1,001 - $15,000",Patty Murray
5228,2017-03-16,STI,"SunTrust Banks, Inc.",Purchase,"$1,001 - $15,000",Patty Murray
5229,2017-03-16,SU,Suncor Energy Inc.,Purchase,"$1,001 - $15,000",Patty Murray
5230,2017-03-16,STT,State Street Corporation,Purchase,"$1,001 - $15,000",Patty Murray
5231,2017-03-16,SO,The Southern Company,Purchase,"$1,001 - $15,000",Patty Murray
5232,2017-03-16,SLB,Schlumberger Limited,Purchase,"$1,001 - $15,000",Patty Murray
5233,2017-03-16,SNY,Sanofi,Purchase,"$1,001 - $15,000",Patty Murray
5234,2017-03-16,SABR,Sabre Corporation,Purchase,"$1,001 - $15,000",Patty Murray
5235,2017-03-16,RTN,Raytheon Company,Purchase,"$1,001 - $15,000",Patty Murray
5236,2017-03-16,QCOM,QUALCOMM Incorporated,Purchase,"$1,001 - $15,000",Patty Murray
5237,2017-03-16,PSA,Public Storage,Purchase,"$1,001 - $15,000",Patty Murray
5238,2017-03-16,PRU,"Prudential Financial, Inc.",Purchase,"$1,001 - $15,000",Patty Murray
5239,2017-03-16,PG,The Procter &amp; Gamble Company,Purchase,"$1,001 - $15,000",Patty Murray
5240,2017-03-16,PFE,Pfizer Inc.,Purchase,"$1,001 - $15,000",Patty Murray
5241,2017-03-16,PAYX,"Paychex, Inc.",Purchase,"$1,001 - $15,000",Patty Murray
5242,2017-03-16,PPL,PPL Corporation,Purchase,"$1,001 - $15,000",Patty Murray
5243,2017-03-16,MS,Morgan Stanley,Purchase,"$1,001 - $15,000",Patty Murray
5244,2017-03-16,TAP,Molson Coors Brewing Company,Purchase,"$1,001 - $15,000",Patty Murray
5245,2017-03-16,MSFT,Microsoft Corporation,Purchase,"$1,001 - $15,000",Patty Murray
5246,2017-03-16,MET,"MetLife, Inc.",Purchase,"$1,001 - $15,000",Patty Murray
5247,2017-03-16,MRK,"Merck &amp; Co., Inc.",Purchase,"$1,001 - $15,000",Patty Murray
5248,2017-03-16,MXIM,"Maxim Integrated Products, Inc.",Purchase,"$1,001 - $15,000",Patty Murray
5249,2017-03-16,MMC,"Marsh &amp; McLennan Companies, Inc.",Purchase,"$1,001 - $15,000",Patty Murray
5250,2017-03-16,MTB,M&amp;T Bank Corporation,Purchase,"$1,001 - $15,000",Patty Murray
5251,2017-03-16,KMI,"Kinder Morgan, Inc.",Purchase,"$1,001 - $15,000",Patty Murray
5252,2017-03-16,KMB,Kimberly-Clark Corporation,Purchase,"$1,001 - $15,000",Patty Murray
5253,2017-03-16,KEY,KeyCorp,Purchase,"$1,001 - $15,000",Patty Murray
5254,2017-03-16,KAR,"KAR Auction Services, Inc.",Purchase,"$1,001 - $15,000",Patty Murray
5255,2017-03-16,JNJ,Johnson &amp; Johnson,Purchase,"$1,001 - $15,000",Patty Murray
5256,2017-03-16,JPM,JPMorgan Chase &amp; Co.,Purchase,"$1,001 - $15,000",Patty Murray
5257,2017-03-16,HSY,The Hershey Company,Purchase,"$1,001 - $15,000",Patty Murray
5258,2017-03-16,GSK,GlaxoSmithKline plc,Purchase,"$1,001 - $15,000",Patty Murray
5259,2017-03-16,GILD,"Gilead Sciences, Inc.",Purchase,"$1,001 - $15,000",Patty Murray
5260,2017-03-16,GM,General Motors Company,Purchase,"$1,001 - $15,000",Patty Murray
5261,2017-03-16,GE,General Electric Company,Purchase,"$1,001 - $15,000",Patty Murray
5262,2017-03-16,GD,General Dynamics Corporation,Purchase,"$1,001 - $15,000",Patty Murray
5263,2017-03-16,FL,"Foot Locker, Inc.",Purchase,"$1,001 - $15,000",Patty Murray
5264,2017-03-16,XOM,Exxon Mobil Corporation,Purchase,"$1,001 - $15,000",Patty Murray
5265,2017-03-16,EXC,Exelon Corporation,Purchase,"$1,001 - $15,000",Patty Murray
5266,2017-03-16,ETR,Entergy Corporation,Purchase,"$1,001 - $15,000",Patty Murray
5267,2017-03-16,DNKN,"Dunkin' Brands Group, Inc.",Purchase,"$1,001 - $15,000",Patty Murray
5268,2017-03-16,DUK,Duke Energy Corporation,Purchase,"$1,001 - $15,000",Patty Murray
5269,2017-03-16,DOW,The Dow Chemical Company,Purchase,"$1,001 - $15,000",Patty Murray
5270,2017-03-16,DIS,The Walt Disney Company,Purchase,"$1,001 - $15,000",Patty Murray
5271,2017-03-16,CCI,Crown Castle International Corp.,Purchase,"$1,001 - $15,000",Patty Murray
5272,2017-03-16,COP,ConocoPhillips,Purchase,"$1,001 - $15,000",Patty Murray
5273,2017-03-16,CMA,Comerica Incorporated,Purchase,"$1,001 - $15,000",Patty Murray
5274,2017-03-16,CMCSA,Comcast Corporation,Purchase,"$1,001 - $15,000",Patty Murray
5275,2017-03-16,KO,The Coca-Cola Company,Purchase,"$1,001 - $15,000",Patty Murray
5276,2017-03-16,CSCO,"Cisco Systems, Inc.",Purchase,"$1,001 - $15,000",Patty Murray
5277,2017-03-16,CVX,Chevron Corporation,Purchase,"$1,001 - $15,000",Patty Murray
5278,2017-03-16,CVS,CVS Health Corporation,Purchase,"$1,001 - $15,000",Patty Murray
5279,2017-03-16,BMY,Bristol-Myers Squibb Company,Purchase,"$1,001 - $15,000",Patty Murray
5280,2017-03-16,BA,The Boeing Company,Purchase,"$1,001 - $15,000",Patty Murray
5281,2017-03-16,BAC,Bank of America Corporation,Purchase,"$1,001 - $15,000",Patty Murray
5282,2017-03-16,BGS,"B&amp;G Foods, Inc.",Purchase,"$1,001 - $15,000",Patty Murray
5283,2017-03-16,AAPL,Apple Inc.,Purchase,"$1,001 - $15,000",Patty Murray
5284,2017-03-16,APA,Apache Corporation,Purchase,"$1,001 - $15,000",Patty Murray
5285,2017-03-16,AMGN,Amgen Inc.,Purchase,"$1,001 - $15,000",Patty Murray
5286,2017-03-16,T,AT&amp;T Inc.,Purchase,"$1,001 - $15,000",Patty Murray
5287,2017-03-16,LYB,LyondellBasell Industries N.V.,Purchase,"$1,001 - $15,000",Patty Murray
5288,2017-03-16,TEL,TE Connectivity Ltd.,Purchase,"$1,001 - $15,000",Patty Murray
5289,2017-03-16,CB,Chubb Limited,Purchase,"$1,001 - $15,000",Patty Murray
5290,2017-03-16,MDT,Medtronic plc,Purchase,"$1,001 - $15,000",Patty Murray
5291,2017-03-16,ETN,Eaton Corporation plc,Purchase,"$1,001 - $15,000",Patty Murray
5292,2017-03-16,DLPH,Delphi Automotive PLC,Purchase,"$1,001 - $15,000",Patty Murray
5293,2017-03-15,ESRX,Express Scripts Holding Company,Sale (Full),"$1,001 - $15,000",John F Reed
5294,2017-02-15,--,"NBL-Noble Energy, Inc.",Sale (Full),"$1,001 - $15,000",William Cassidy
5295,2017-02-23,CVS,CVS Health Corporation,Sale (Partial),"$15,001 - $50,000",Sheldon Whitehouse
5296,2017-02-23,JCI,Johnson Controls International plc,Purchase,"$1,001 - $15,000",Sheldon Whitehouse
5297,2017-02-23,BMY,Bristol-Myers Squibb Company,Purchase,"$1,001 - $15,000",Sheldon Whitehouse
5298,2017-02-23,JPM,JPMorgan Chase &amp; Co.,Purchase,"$1,001 - $15,000",Sheldon Whitehouse
5299,2017-02-23,BUD,Anheuser-Busch InBev SA/NV,Sale (Full),"$1,001 - $15,000",Sheldon Whitehouse
5300,2017-02-23,BRK-B,Berkshire Hathaway Inc.,Purchase,"$1,001 - $15,000",Sheldon Whitehouse
5301,2017-02-10,DISH,DISH Network Corporation,Purchase,"$1,001 - $15,000",Sheldon Whitehouse
5302,2017-02-23,EL,The Estée Lauder Companies Inc.,Sale (Full),"$1,001 - $15,000",Sheldon Whitehouse
5303,2017-02-23,MCK,MCK-McKesson Corporation,Purchase,"$1,001 - $15,000",Sheldon Whitehouse
5304,2017-02-23,ABT,ABT-Abbott Laboratories,Sale (Full),"$1,001 - $15,000",Sheldon Whitehouse
5305,2017-02-23,BMY,BMY-Bristol-Myers Squibb Company,Purchase,"$1,001 - $15,000",Sheldon Whitehouse
5306,2017-02-10,DISH,DISH-DISH Network Corporation,Purchase,"$1,001 - $15,000",Sheldon Whitehouse
5307,2017-02-10,ADI,"ADI-Analog Devices, Inc.",Purchase,"$15,001 - $50,000",Sheldon Whitehouse
5308,2017-02-10,PFE,PFE-PFE-Pfizer Inc.,Purchase,"$1,001 - $15,000",Sheldon Whitehouse
5309,2017-02-07,--,"Muni Bond Biddeford ME <div class=""text-muted""><em>Rate/Coupon:</em> 3.00 %<br> <em>Matures:</em> 10/01/2028</div>",Purchase,"$15,001 - $50,000","Angus S King, Jr."
5310,2017-02-17,YUMC,"Yum China Holdings, Inc.",Sale (Full),"$1,001 - $15,000",Chris Van Hollen
5311,2017-02-17,YUM,"Yum! Brands, Inc.",Sale (Full),"$1,001 - $15,000",Chris Van Hollen
5312,2017-02-17,VZ,Verizon Communications Inc.,Sale (Full),"$1,001 - $15,000",Chris Van Hollen
5313,2017-02-17,PEP,"Pepsico, Inc.",Sale (Full),"$15,001 - $50,000",Chris Van Hollen
5314,2017-02-17,JNJ,JNJ-Johnson &amp; Johnson,Sale (Full),"$1,001 - $15,000",Chris Van Hollen
5315,2017-02-17,GE,General Electric Company,Sale (Full),"$15,001 - $50,000",Chris Van Hollen
5316,2017-02-17,T,AT&amp;T Inc.,Sale (Full),"$1,001 - $15,000",Chris Van Hollen
5317,2017-02-21,CELG,Celgene Corporation,Purchase,"$1,001 - $15,000",John F Reed
5318,2017-02-21,CELG,Celgene Corporation,Purchase,"$1,001 - $15,000",John F Reed
5321,2017-03-06,TMO,Thermo Fisher Scientific Inc.,Purchase,"$1,001 - $15,000",John F Reed
5322,2017-03-06,XBI,SPDR S&amp;P Biotech ETF,Purchase,"$1,001 - $15,000",John F Reed
5323,2017-03-06,FDX,FedEx Corporation,Purchase,"$1,001 - $15,000",John F Reed
5324,2017-03-06,ADI,"Analog Devices, Inc.",Purchase,"$1,001 - $15,000",John F Reed
5325,2017-03-06,AGN,Allergan plc,Purchase,"$1,001 - $15,000",John F Reed
5326,2017-03-06,--,TMO - Thermo Fisher Scientific Inc.,Purchase,"$1,001 - $15,000",John F Reed
5327,2017-03-06,XBI,SPDR S&amp;P Biotech ETF,Purchase,"$1,001 - $15,000",John F Reed
5328,2017-03-06,HACK,PureFunds ISE Cyber Security ETF,Purchase,"$1,001 - $15,000",John F Reed
5329,2017-03-06,IYT,iShares Transportation Average,Purchase,"$1,001 - $15,000",John F Reed
5330,2017-03-06,FDX,FedEx Corporation,Purchase,"$1,001 - $15,000",John F Reed
5331,2017-03-06,ADI,"Analog Devices, Inc.",Purchase,"$1,001 - $15,000",John F Reed
5332,2017-03-06,AGN,Allergan plc,Purchase,"$1,001 - $15,000",John F Reed
5333,2017-03-06,ESRX,Express Scripts Holding Company,Sale (Full),"$1,001 - $15,000",John F Reed
5334,2017-03-02,NGG,National Grid plc,Purchase,"$100,001 - $250,000",John Hoeven
5335,2017-03-02,UPS,"United Parcel Service, Inc.",Purchase,"$50,001 - $100,000",John Hoeven
5336,2017-03-02,QCOM,QUALCOMM Incorporated,Purchase,"$100,001 - $250,000",John Hoeven
5337,2017-02-15,KSS,Kohl's Corporation,Purchase,"$50,001 - $100,000",John Hoeven
5338,2017-02-15,CCI,Crown Castle International Corp.,Purchase,"$50,001 - $100,000",John Hoeven
5339,2017-02-28,--,SE - Spectra Energy Corp,Exchange,"$15,001 - $50,000",Thomas R Carper
5340,2017-02-28,--,Enbridge Inc,Exchange,"$15,001 - $50,000",Thomas R Carper
5341,2017-02-10,--,Preospect Capital Group,Sale (Full),"$1,001 - $15,000",Thomas R Carper
5342,2017-02-13,GE,General Electric Company,Purchase,"$1,001 - $15,000",Patrick J Toomey
5343,2017-01-27,VZ,Verizon Communications Inc.,Sale (Partial),"$15,001 - $50,000",Patrick J Toomey
5344,2017-02-22,XEL,Xcel Energy Inc.,Purchase,"$15,001 - $50,000",Patrick J Toomey
5345,2017-02-22,TRV,"The Travelers Companies, Inc.",Purchase,"$1,001 - $15,000",Patrick J Toomey
5346,2017-02-22,DD,E. I. du Pont de Nemours and Company,Purchase,"$15,001 - $50,000",Patrick J Toomey
5347,2017-02-28,BMY,Bristol-Myers Squibb Company,Sale (Partial),"$15,001 - $50,000",James M Inhofe
5348,2017-02-16,XON,Intrexon Corporation,Purchase,"$15,001 - $50,000",James M Inhofe
5349,2017-02-14,AGN,Allergan plc,Sale (Partial),"$50,001 - $100,000",James M Inhofe
5350,2017-02-10,CERN,Cerner Corporation,Sale (Full),"$50,001 - $100,000",James M Inhofe
5351,2017-02-01,SYF,Synchrony Financial,Sale (Partial),"$50,001 - $100,000",James M Inhofe
5352,2017-02-01,BMY,Bristol-Myers Squibb Company,Purchase,"$15,001 - $50,000",James M Inhofe
5353,2017-02-06,MPW,"Medical Properties Trust, Inc.",Purchase,"$1,001 - $15,000",Gary C Peters
5354,2017-02-28,--,ENB-Enbridge Inc.,Exchange,"$15,001 - $50,000","David A Perdue , Jr"
5355,2017-02-27,PFE,Pfizer Inc.,Purchase,"$1,001 - $15,000","David A Perdue , Jr"
5356,2017-02-24,ENTG,"Entegris, Inc.",Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
5357,2017-02-23,WOOF,VCA Inc.,Sale (Partial),"$15,001 - $50,000","David A Perdue , Jr"
5358,2017-02-22,PFE,Pfizer Inc.,Purchase,"$15,001 - $50,000","David A Perdue , Jr"
5359,2017-02-17,PFE,Pfizer Inc.,Purchase,"$1,001 - $15,000","David A Perdue , Jr"
5360,2017-02-16,PFE,Pfizer Inc.,Purchase,"$1,001 - $15,000","David A Perdue , Jr"
5361,2017-02-14,PFE,Pfizer Inc.,Purchase,"$1,001 - $15,000","David A Perdue , Jr"
5362,2017-02-14,ENTG,"Entegris, Inc.",Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
5363,2017-02-13,BAX,Baxter International Inc.,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
5364,2017-02-13,PFE,Pfizer Inc.,Purchase,"$1,001 - $15,000","David A Perdue , Jr"
5365,2017-02-10,VIAB,"Viacom, Inc.",Sale (Full),"$1,001 - $15,000","David A Perdue , Jr"
5366,2017-02-10,WOOF,VCA Inc.,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
5367,2017-02-10,PFE,Pfizer Inc.,Purchase,"$1,001 - $15,000","David A Perdue , Jr"
5368,2017-02-09,WOOF,VCA Inc.,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
5369,2017-02-09,PFE,Pfizer Inc.,Purchase,"$1,001 - $15,000","David A Perdue , Jr"
5370,2017-02-08,PG,The Procter &amp; Gamble Company,Sale (Partial),"$15,001 - $50,000","David A Perdue , Jr"
5371,2017-02-08,AMZN,"Amazon.com, Inc.",Purchase,"$15,001 - $50,000","David A Perdue , Jr"
5372,2017-02-08,ORCL,Oracle Corporation,Purchase,"$15,001 - $50,000","David A Perdue , Jr"
5373,2017-02-08,BAX,Baxter International Inc.,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
5374,2017-02-08,PFE,Pfizer Inc.,Purchase,"$1,001 - $15,000","David A Perdue , Jr"
5375,2017-02-08,PKI,"PerkinElmer, Inc.",Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
5376,2017-02-07,--,WOOF - VCA Inc.,Sale (Partial),"$15,001 - $50,000","David A Perdue , Jr"
5377,2017-02-06,WOOF,VCA Inc.,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
5378,2017-02-07,FEYE,"FireEye, Inc.",Purchase,"$1,001 - $15,000","David A Perdue , Jr"
5379,2017-02-07,PFE,Pfizer Inc.,Purchase,"$1,001 - $15,000","David A Perdue , Jr"
5380,2017-02-07,PFE,Pfizer Inc.,Purchase,"$1,001 - $15,000","David A Perdue , Jr"
5381,2017-02-06,PFE,Pfizer Inc.,Purchase,"$1,001 - $15,000","David A Perdue , Jr"
5382,2017-02-06,PFE,Pfizer Inc.,Purchase,"$1,001 - $15,000","David A Perdue , Jr"
5383,2017-02-03,--,"STATE OF CONNECTICUT GO <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 03/15/23</div>",Purchase,"$250,001 - $500,000","David A Perdue , Jr"
5384,2017-02-03,--,"GEORGIA MUN ELEC AUTH PWR REV REV <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 01/01/22</div>",Purchase,"$100,001 - $250,000","David A Perdue , Jr"
5385,2017-02-03,FEYE,"FireEye, Inc.",Purchase,"$1,001 - $15,000","David A Perdue , Jr"
5386,2017-02-02,VSM,"Versum Materials, Inc.",Purchase,"$1,001 - $15,000","David A Perdue , Jr"
5387,2017-02-01,FOXA,"Twenty-First Century Fox, Inc.",Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
5388,2017-02-01,ENTG,"Entegris, Inc.",Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
5389,2017-02-01,ENTG,"Entegris, Inc.",Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
5390,2017-02-01,WOOF,VCA Inc.,Sale (Partial),"$15,001 - $50,000","David A Perdue , Jr"
5391,2017-01-31,FOXA,"Twenty-First Century Fox, Inc.",Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
5393,2017-02-01,AAPL,Apple Inc.,Sale (Full),"$15,001 - $50,000",John Cornyn
5395,2017-01-30,EMR,Emerson Electric Co.,Sale (Full),"$1,001 - $15,000",John F Reed
5396,2017-01-30,HON,Honeywell International Inc.,Purchase,"$1,001 - $15,000",John F Reed
5397,2017-01-31,PEP,"Pepsico, Inc.",Sale (Partial),"$1,001 - $15,000",John F Reed
5398,2017-01-31,PEP,"Pepsico, Inc.",Sale (Partial),"$1,001 - $15,000",John F Reed
5399,2017-02-03,AQFH,"Aquesta Financial Holdings, Inc.",Sale (Full),"$1,001 - $15,000",Thomas R Tillis
5400,2017-02-01,AQFH,"Aquesta Financial Holdings, Inc.",Sale (Partial),"$15,001 - $50,000",Thomas R Tillis
5401,2017-01-26,--,"AQFH-Aquesta Financial Holdings, Inc.",Sale (Partial),"$15,001 - $50,000",Thomas R Tillis
5402,2017-01-31,--,"Federal Farm Credit Bank 3133EGU94 <div class=""text-muted""><em>Rate/Coupon:</em> 2.300%<br> <em>Matures:</em> 12/14/2022</div>",Purchase,"$15,001 - $50,000",Susan M Collins
5403,2017-01-11,MDT,Medtronic plc,Sale (Full),"$1,001 - $15,000",Sheldon Whitehouse
5404,2017-01-11,NVDA,NVIDIA Corporation,Purchase,"$1,001 - $15,000",Sheldon Whitehouse
5405,2017-01-11,PANW,"Palo Alto Networks, Inc.",Sale (Full),"$1,001 - $15,000",Sheldon Whitehouse
5406,2017-01-11,UNH,UnitedHealth Group Incorporated,Sale (Partial),"$15,001 - $50,000",Sheldon Whitehouse
5407,2017-01-11,PANW,"Palo Alto Networks, Inc.",Sale (Full),"$1,001 - $15,000",Sheldon Whitehouse
5408,2017-01-11,AAPL,Apple Inc.,Sale (Partial),"$1,001 - $15,000",Sheldon Whitehouse
5409,2017-01-11,NSRGY,Nestlé S.A.,Sale (Partial),"$15,001 - $50,000",Sheldon Whitehouse
5410,2017-01-24,TMUS,"T-Mobile US, Inc.",Purchase,"$15,001 - $50,000",Sheldon Whitehouse
5411,2017-01-24,IR,Ingersoll-Rand Plc,Purchase,"$15,001 - $50,000",Sheldon Whitehouse
5412,2017-01-24,BA,The Boeing Company,Purchase,"$1,001 - $15,000",Sheldon Whitehouse
5413,2017-01-30,MO,"MO-Altria Group, Inc.",Sale (Full),"$1,001 - $15,000",Sheldon Whitehouse
5414,2017-01-30,LW,"LW-Lamb Weston Holdings, Inc.",Sale (Full),"$1,001 - $15,000",Sheldon Whitehouse
5415,2017-01-11,AAPL,Apple Inc.,Sale (Partial),"$15,001 - $50,000",Sheldon Whitehouse
5416,2017-01-25,IR,Ingersoll-Rand Plc,Purchase,"$15,001 - $50,000",Sheldon Whitehouse
5417,2017-01-30,MO,"Altria Group, Inc.",Sale (Full),"$15,001 - $50,000",Sheldon Whitehouse
5418,2017-01-25,USB,U.S. Bancorp,Purchase,"$1,001 - $15,000",Sheldon Whitehouse
5419,2017-01-30,BRK-B,Berkshire Hathaway Inc.,Purchase,"$1,001 - $15,000",Sheldon Whitehouse
5420,2017-01-30,USB,USB-U.S. Bancorp,Purchase,"$1,001 - $15,000",Shelley M Capito
5421,2017-01-27,VZ,Verizon Communications Inc.,Sale (Partial),"$15,001 - $50,000",Patrick J Toomey
5422,2017-01-06,--,"United States Treasury Note <div class=""text-muted""><em>Rate/Coupon:</em> 1.0<br> <em>Matures:</em> 12/31/2017</div>",Sale (Partial),"$15,001 - $50,000",Patrick J Toomey
5423,2017-01-25,NEE-PC,"FPL Group, Inc. 5 7/8% Preferre",Purchase,"$15,001 - $50,000",Patrick J Toomey
5424,2017-01-25,T,AT&amp;T Inc.,Purchase,"$15,001 - $50,000",Patrick J Toomey
5425,2017-01-25,BAC,Bank of America Corporation,Purchase,"$15,001 - $50,000",Patrick J Toomey
5426,2017-01-25,--,"Continuum Real Estate Investors 2016, LLC <div class=""text-muted""> <em>Company:</em> Continuum Real Estate Investors 2016, LLC &nbsp;(Denver , CO) </div> <div class=""text-muted""><em>Description:</em>&nbsp;Private Equity</div>",Purchase,"$250,001 - $500,000",Michael F Bennet
5427,2017-01-23,--,Pfizer Inc,Purchase,"$1,001 - $15,000",Thomas R Carper
5428,2017-01-23,--,Pfizer Inc,Purchase,"$1,001 - $15,000",Thomas R Carper
5429,2017-01-17,--,Vector Group Ltd.,Purchase,"$1,001 - $15,000",Thomas R Carper
5430,2017-01-17,--,Reynolds American Inc.,Sale (Full),"$1,001 - $15,000",Thomas R Carper
5431,2017-01-27,WPX,"WPX Energy, Inc.",Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
5432,2017-01-26,FOXA,"Twenty-First Century Fox, Inc.",Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
5433,2017-01-26,DISCA,"Discovery Communications, Inc.",Purchase,"$1,001 - $15,000","David A Perdue , Jr"
5434,2017-01-26,WPX,"WPX Energy, Inc.",Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
5435,2017-01-20,WPX,"WPX Energy, Inc.",Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
5436,2017-01-19,WPX,"WPX Energy, Inc.",Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
5437,2017-01-18,FOXA,"Twenty-First Century Fox, Inc.",Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
5438,2017-01-12,VSM,"Versum Materials, Inc.",Purchase,"$1,001 - $15,000","David A Perdue , Jr"
5439,2017-01-10,FOXA,"Twenty-First Century Fox, Inc.",Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr"
5440,2017-01-09,WFM,"Whole Foods Market, Inc.",Purchase,"$1,001 - $15,000","David A Perdue , Jr"
5441,2017-01-04,VSM,"Versum Materials, Inc.",Purchase,"$1,001 - $15,000","David A Perdue , Jr"
5442,2017-01-18,QCOM,QUALCOMM Incorporated,Sale (Partial),"$1,001 - $15,000",John F Reed
5443,2017-01-18,NXPI,NXP Semiconductors N.V.,Sale (Partial),"$1,001 - $15,000",John F Reed
5444,2017-01-18,QCOM,QUALCOMM Incorporated,Sale (Partial),"$1,001 - $15,000",John F Reed
5445,2017-01-18,NXPI,NXP Semiconductors N.V.,Sale (Partial),"$1,001 - $15,000",John F Reed
5446,2017-01-19,FB,"Facebook, Inc.",Purchase,"$1,001 - $15,000",Pat Roberts
5447,2017-01-09,TJX,"The TJX Companies, Inc.",Purchase,"$1,001 - $15,000",Pat Roberts
5448,2017-01-03,NOC,Northrop Grumman Corporation,Purchase,"$1,001 - $15,000",Pat Roberts
5449,2017-01-26,CHKP,Check Point Software Technologies Ltd.,Purchase,"$50,001 - $100,000",James M Inhofe
5450,2017-01-19,WFC,Wells Fargo &amp; Company,Sale (Full),"$50,001 - $100,000",James M Inhofe
5451,2017-01-19,UL,Unilever PLC,Purchase,"$15,001 - $50,000",James M Inhofe
5452,2017-01-11,ARW,"Arrow Electronics, Inc.",Sale (Full),"$50,001 - $100,000",James M Inhofe
5453,2017-01-11,BUD,Anheuser-Busch InBev SA/NV,Purchase,"$50,001 - $100,000",James M Inhofe
5454,2017-01-12,--,"THE CAMPBELL FUND TRUST - SERIES A <div class=""text-muted""> <em>Company:</em> THE CAMPBELL FUND TRUST - SERIES A &nbsp;(BALTIMORE, MARYLAND) </div> <div class=""text-muted""><em>Description:</em>&nbsp;INVETMENT MANAGEMENT IN FUTURES AND CASH EQUITY STRATEGIES</div>",Sale (Full),"$50,001 - $100,000",John Hoeven
5455,2017-01-25,MRK,"Merck &amp; Co., Inc.",Sale (Full),"$50,001 - $100,000",John Hoeven
5456,2017-01-24,WTW,"Weight Watchers International, Inc.",Purchase,"$50,001 - $100,000",John Hoeven
5457,2017-01-23,VFC,V.F. Corporation,Purchase,"$50,001 - $100,000",John Hoeven
5458,2017-01-20,JNJ,Johnson &amp; Johnson,Sale (Full),"$100,001 - $250,000",John Hoeven
5459,2017-01-20,ABBV,AbbVie Inc.,Sale (Full),"$100,001 - $250,000",John Hoeven
5460,2017-01-20,PFE,Pfizer Inc.,Sale (Full),"$50,001 - $100,000",John Hoeven
5461,2017-01-20,BMY,Bristol-Myers Squibb Company,Sale (Full),"$50,001 - $100,000",John Hoeven
5462,2017-01-20,AMGN,Amgen Inc.,Sale (Full),"$50,001 - $100,000",John Hoeven
5463,2017-01-20,VZ,Verizon Communications Inc.,Purchase,"$50,001 - $100,000",John Hoeven
5464,2017-01-20,PG,The Procter &amp; Gamble Company,Purchase,"$100,001 - $250,000",John Hoeven
5465,2017-01-20,PEP,"Pepsico, Inc.",Purchase,"$100,001 - $250,000",John Hoeven
